geoid,census_tract,white_pop,total_pop,white_pct,non_white_pct
09011705300,"Census Tract 7053, New London County, Connecticut",2806,3676,76.3329706202394,23.667029379760606
09011705400,"Census Tract 7054, New London County, Connecticut",2627,2847,92.27256761503337,7.727432384966633
09011707100,"Census Tract 7071, New London County, Connecticut",4809,5151,93.36051252184042,6.63948747815958
09011708100,"Census Tract 7081, New London County, Connecticut",2275,2554,89.07595927956147,10.924040720438526
09011709100,"Census Tract 7091, New London County, Connecticut",5586,5993,93.20874353412314,6.791256465876856
09011709200,"Census Tract 7092, New London County, Connecticut",4710,5467,86.15328333638192,13.846716663618082
09011710100,"Census Tract 7101, New London County, Connecticut",3848,4198,91.66269652215341,8.33730347784659
09011711100,"Census Tract 7111, New London County, Connecticut",2565,2955,86.80203045685279,13.19796954314721
09011712100,"Census Tract 7121, New London County, Connecticut",1538,1835,83.81471389645777,16.185286103542225
09011713100,"Census Tract 7131, New London County, Connecticut",2204,2389,92.25617413143574,7.743825868564258
09011714101,"Census Tract 7141.01, New London County, Connecticut",3624,3906,92.78033794162826,7.219662058371739
09011714103,"Census Tract 7141.03, New London County, Connecticut",5785,6618,87.41311574493805,12.586884255061946
