geoid,name,median_income
09003406002,"Census Tract 4060.02, Hartford County, Connecticut",99281
09003406100,"Census Tract 4061, Hartford County, Connecticut",58097
09003410101,"Census Tract 4101.01, Hartford County, Connecticut",142753
09003410102,"Census Tract 4101.02, Hartford County, Connecticut",146023
09003415300,"Census Tract 4153, Hartford County, Connecticut",44009
09003415400,"Census Tract 4154, Hartford County, Connecticut",59851
09003415500,"Census Tract 4155, Hartford County, Connecticut",43155
09003415600,"Census Tract 4156, Hartford County, Connecticut",42550
09003415700,"Census Tract 4157, Hartford County, Connecticut",50096
09003415800,"Census Tract 4158, Hartford County, Connecticut",48036
09003415900,"Census Tract 4159, Hartford County, Connecticut",26771
09003416000,"Census Tract 4160, Hartford County, Connecticut",38615
09003416100,"Census Tract 4161, Hartford County, Connecticut",45927
09003416200,"Census Tract 4162, Hartford County, Connecticut",26400
09003416300,"Census Tract 4163, Hartford County, Connecticut",38384
09003416400,"Census Tract 4164, Hartford County, Connecticut",110724
09003416500,"Census Tract 4165, Hartford County, Connecticut",57489
09003416600,"Census Tract 4166, Hartford County, Connecticut",45149
09003416700,"Census Tract 4167, Hartford County, Connecticut",54265
09003416800,"Census Tract 4168, Hartford County, Connecticut",69139
09003417100,"Census Tract 4171, Hartford County, Connecticut",31830
09003417200,"Census Tract 4172, Hartford County, Connecticut",50347
09003417300,"Census Tract 4173, Hartford County, Connecticut",NA
09003417400,"Census Tract 4174, Hartford County, Connecticut",72383
09003417500,"Census Tract 4175, Hartford County, Connecticut",80714
09003420400,"Census Tract 4204, Hartford County, Connecticut",86786
09003420500,"Census Tract 4205, Hartford County, Connecticut",68725
09003420601,"Census Tract 4206.01, Hartford County, Connecticut",58026
09003420602,"Census Tract 4206.02, Hartford County, Connecticut",86179
09003420700,"Census Tract 4207, Hartford County, Connecticut",83611
09003430100,"Census Tract 4301, Hartford County, Connecticut",72625
09003430201,"Census Tract 4302.01, Hartford County, Connecticut",114513
09003430202,"Census Tract 4302.02, Hartford County, Connecticut",138782
09003430203,"Census Tract 4302.03, Hartford County, Connecticut",89444
09003430301,"Census Tract 4303.01, Hartford County, Connecticut",138676
09003430302,"Census Tract 4303.02, Hartford County, Connecticut",86435
09003430400,"Census Tract 4304, Hartford County, Connecticut",98438
09003430501,"Census Tract 4305.01, Hartford County, Connecticut",67184
09003430502,"Census Tract 4305.02, Hartford County, Connecticut",157308
09003430602,"Census Tract 4306.02, Hartford County, Connecticut",113114
09003430603,"Census Tract 4306.03, Hartford County, Connecticut",37868
09003430604,"Census Tract 4306.04, Hartford County, Connecticut",103344
09003460100,"Census Tract 4601, Hartford County, Connecticut",115045
09003460202,"Census Tract 4602.02, Hartford County, Connecticut",114141
09003460203,"Census Tract 4602.03, Hartford County, Connecticut",120511
09003460204,"Census Tract 4602.04, Hartford County, Connecticut",71275
09003460301,"Census Tract 4603.01, Hartford County, Connecticut",119773
09003460302,"Census Tract 4603.02, Hartford County, Connecticut",98953
09003462101,"Census Tract 4621.01, Hartford County, Connecticut",117965
09003462102,"Census Tract 4621.02, Hartford County, Connecticut",210833
09003462201,"Census Tract 4622.01, Hartford County, Connecticut",108147
09003462202,"Census Tract 4622.02, Hartford County, Connecticut",151094
09003464101,"Census Tract 4641.01, Hartford County, Connecticut",137000
09003464102,"Census Tract 4641.02, Hartford County, Connecticut",77353
09003466101,"Census Tract 4661.01, Hartford County, Connecticut",133885
09003466102,"Census Tract 4661.02, Hartford County, Connecticut",137303
09003466201,"Census Tract 4662.01, Hartford County, Connecticut",93125
09003466202,"Census Tract 4662.02, Hartford County, Connecticut",161165
09003466300,"Census Tract 4663, Hartford County, Connecticut",142903
09003466400,"Census Tract 4664, Hartford County, Connecticut",107647
09003468101,"Census Tract 4681.01, Hartford County, Connecticut",125881
09003468102,"Census Tract 4681.02, Hartford County, Connecticut",113600
09003470100,"Census Tract 4701, Hartford County, Connecticut",112857
09003471100,"Census Tract 4711, Hartford County, Connecticut",78500
09003471200,"Census Tract 4712, Hartford County, Connecticut",44509
09003471300,"Census Tract 4713, Hartford County, Connecticut",68158
09003471400,"Census Tract 4714, Hartford County, Connecticut",106902
09003471500,"Census Tract 4715, Hartford County, Connecticut",92839
09003473100,"Census Tract 4731, Hartford County, Connecticut",95000
09003473400,"Census Tract 4734, Hartford County, Connecticut",79766
09003473501,"Census Tract 4735.01, Hartford County, Connecticut",111830
